id,stop_name,stop_id,line_number,mode_type
a19ab5c8-feec-49f7-b828-10ef45fb69ff,Phibbs Exchange @ Bay 2,54100,R2,bus
8b77ab0b-b1c1-424f-a5ba-4c2ccb8c39d9,Cotton Rd @ Brooksbank Ave,53958,R2,bus
0971e2c5-6caf-4fd7-af8b-a7097590a98f,E 3rd St @ Ridgeway Ave,54149,R2,bus
821b8edf-e363-4c71-bccd-b2870b835c08,Lonsdale Ave @ W 3rd St,60380,R2,bus
09194348-e197-480b-bbc6-8c40f2540a4a,Lonsdale Quay @ Bay 3,58724,R2,bus
47652918-31e7-45f3-a77e-9d968487de42,Marine Dr @ Bewicke Ave,54378,R2,bus
cc42420d-ac4e-4742-bb4e-2643fd200de0,Marine Dr @ Hamilton Ave,54382,R2,bus
e5d446be-694f-4681-b15b-df7009cd9024,Marine Dr @ Pemberton Ave,54435,R2,bus
3416e296-db7e-49e3-ae00-75f3199c6bb3,Marine Dr @ Capilano Rd,60376,R2,bus
f85851f4-2e11-422b-99ae-12d00ac44bbf,Park Royal @ Bay 1,61772,R2,bus
,,,,
1793a951-2d02-48bc-9855-5760a32fa292,Guildford Exchange @ Bay 2,55131,R1,bus
84b6b018-367a-450a-8e6e-2c1c540ec00e,104 Ave @ 148 St,55367,R1,bus
d592fb94-a0d3-4178-a462-5a2fa3cf46f5,104 Ave @ 144 St,55369,R1,bus
ae07bf04-4dd1-449e-aaff-66d3ad7c9831,104 Ave @ 140 St,55371,R1,bus
fa54f892-f4a2-4fb0-97b5-7ed16886a7a2,104 Ave @ Whalley Blvd,55373,R1,bus
5a57737b-160e-4b2f-af7c-30b6d1e68632,Surrey Central Station @ Bay 11,56406,R1,bus
aafdb5ae-9f7a-477e-846f-b20b4708bffd,King George Station @ Bay 1,54996,R1,bus
66cf5338-e251-4af1-b0cb-93016fa405f5,King George Blvd @ 96 Ave,54987,R1,bus
ad9e3d5b-4875-4d93-abac-b329b4249309,King George Blvd @ 88 Ave,55445,R1,bus
612a0643-47fb-478e-8e31-f25e59fea97f,King George Blvd @ 80 Ave,55450,R1,bus
13568844-9b76-494f-8501-7042a3e2b12c,King George Blvd @ 76 Ave,55452,R1,bus
c41b5678-52b7-4205-8f28-f5e301866fd6,Newton Exchange @ Bay 5,55456,R1,bus
,,,,
9f9a20cd-9a32-4074-a602-6a6082f659a9,Coquitlam Central Station @ Bay 7,53170,R3,bus
23066ac9-46f5-448a-b9a0-49e3ab91e7b5,Lougheed Hwy @ Westwood St,53022,R3,bus
c987e2a4-f433-43cf-968d-a67e5a6752b8,Lougheed Hwy @ Shaughnessy St,53786,R3,bus
c87bfc52-4541-4900-a51e-efdd824218ea,Lougheed Hwy @ Ottawa St,57573,R3,bus
6b35cc0e-7c5d-4c18-b6bf-39ff9c092f5b,Lougheed Hwy @ Harris Rd,61304,R3,bus
217c0b3e-2162-41e9-9d6a-1397a9ea2161,Lougheed Hwy @ 203 St,60372,R3,bus
